WBA08N_SL_ET	WBA08N_SL_ET
WBA08N_SO_ET	WBA 8N Sub-tropical ET
WBA08N_TH_ET	WBA 8N Tomatoes (hand-picked) ET
WBA08N_TM_ET	WBA 8N Tomatoes (machine-picked) ET
WBA08N_TR_ET	WBA 8N Other truck ET
WBA08N_UR_ET	WBA 8N Urban ET
WBA08N_VI_ET	WBA 8N Vineyards ET
WBA08S	WBA 8S Reference ET
WBA08S_AL_ET	WBA 8S Alfalfa ET
WBA08S_AP_ET	WBA 8S Almonds and pistachios ET
WBA08S_CO_ET	WBA 8S Cotton ET
WBA08S_CR_ET	WBA 8S Corn ET
WBA08S_CU_ET	WBA 8S Cucurbits ET
WBA08S_DB_ET	WBA 8S Dry beans ET
WBA08S_FI_ET	WBA 8S Other field crops ET
WBA08S_GR_ET	WBA 8S Grain ET
WBA08S_ID_ET	WBA08S_ID_ET
WBA08S_NV_ET	WBA 8S Native vegetation ET
WBA08S_OG_ET	WBA 8S Onions and garlic ET
WBA08S_OR_ET	WBA 8S Other deciduous ET
WBA08S_PA_ET	WBA 8S Pasture ET
WBA08S_PO_ET	WBA 8S Potatoes ET
WBA08S_RF_ET	WBA08S_RF_ET
WBA08S_RI_ET	WBA 8S Rice ET
WBA08S_RV_ET	WBA08S_RV_ET
WBA08S_SB_ET	WBA 8S Sugar beets ET
WBA08S_SF_ET	WBA 8S Safflower ET
WBA08S_SL_ET	WBA08S_SL_ET
WBA08S_SO_ET	WBA 8S Sub-tropical ET
WBA08S_TH_ET	WBA 8S Tomatoes (hand-picked) ET
WBA08S_TM_ET	WBA 8S Tomatoes (machine-picked) ET
WBA08S_TR_ET	WBA 8S Other truck ET
WBA08S_UR_ET	WBA 8S Urban ET
WBA08S_VI_ET	WBA 8S Vineyards ET
WBA09	WBA 9 Reference ET
WBA09_AL_ET	WBA 9 Alfalfa ET
WBA09_AP_ET	WBA 9 Almonds and pistachios ET
WBA09_CO_ET	WBA 9 Cotton ET
WBA09_CR_ET	WBA 9 Corn ET
WBA09_CU_ET	WBA 9 Cucurbits ET
WBA09_DB_ET	WBA 9 Dry beans ET
WBA09_FI_ET	WBA 9 Other field crops ET
WBA09_GR_ET	WBA 9 Grain ET
WBA09_ID_ET	WBA09_ID_ET
WBA09_NV_ET	WBA 9 Native vegetation ET
WBA09_OG_ET	WBA 9 Onions and garlic ET
WBA09_OR_ET	WBA 9 Other deciduous ET
WBA09_PA_ET	WBA 9 Pasture ET
WBA09_PO_ET	WBA 9 Potatoes ET
WBA09_RF_ET	WBA09_RF_ET
WBA09_RI_ET	WBA 9 Rice ET
WBA09_RV_ET	WBA09_RV_ET
WBA09_SB_ET	WBA 9 Sugar beets ET
WBA09_SF_ET	WBA 9 Safflower ET
WBA09_SL_ET	WBA09_SL_ET
WBA09_SO_ET	WBA 9 Sub-tropical ET
WBA09_TH_ET	WBA 9 Tomatoes (hand-picked) ET
WBA09_TM_ET	WBA 9 Tomatoes (machine-picked) ET
WBA09_TR_ET	WBA 9 Other truck ET
WBA09_UR_ET	WBA 9 Urban ET
WBA09_VI_ET	WBA 9 Vineyards ET
WBA10	WBA 10 Reference ET
WBA10_AL_ET	WBA 10 Alfalfa ET
WBA10_AP_ET	WBA 10 Almonds and pistachios ET
WBA10_CO_ET	WBA 10 Cotton ET
WBA10_CR_ET	WBA 10 Corn ET
WBA10_CU_ET	WBA 10 Cucurbits ET
WBA10_DB_ET	WBA 10 Dry beans ET
WBA10_FI_ET	WBA 10 Other field crops ET
WBA10_GR_ET	WBA 10 Grain ET
WBA10_ID_ET	WBA10_ID_ET
WBA10_NV_ET	WBA 10 Native vegetation ET
WBA10_OG_ET	WBA 10 Onions and garlic ET
WBA10_OR_ET	WBA 10 Other deciduous ET
WBA10_PA_ET	WBA 10 Pasture ET
WBA10_PO_ET	WBA 10 Potatoes ET
WBA10_RF_ET	WBA10_RF_ET
WBA10_RI_ET	WBA 10 Rice ET
WBA10_RV_ET	WBA10_RV_ET
WBA10_SB_ET	WBA 10 Sugar beets ET
WBA10_SF_ET	WBA 10 Safflower ET
WBA10_SL_ET	WBA10_SL_ET
WBA10_SO_ET	WBA 10 Sub-tropical ET
WBA10_TH_ET	WBA 10 Tomatoes (hand-picked) ET
WBA10_TM_ET	WBA 10 Tomatoes (machine-picked) ET
WBA10_TR_ET	WBA 10 Other truck ET
WBA10_UR_ET	WBA 10 Urban ET
WBA10_VI_ET	WBA 10 Vineyards ET
WBA11	WBA 11 Reference ET
WBA11_AL_ET	WBA 11 Alfalfa ET
WBA11_AP_ET	WBA 11 Almonds and pistachios ET
WBA11_CO_ET	WBA 11 Cotton ET
WBA11_CR_ET	WBA 11 Corn ET
WBA11_CU_ET	WBA 11 Cucurbits ET
WBA11_DB_ET	WBA 11 Dry beans ET
WBA11_FI_ET	WBA 11 Other field crops ET
WBA11_GR_ET	WBA 11 Grain ET
WBA11_ID_ET	WBA11_ID_ET
WBA11_NV_ET	WBA 11 Native vegetation ET
WBA11_OG_ET	WBA 11 Onions and garlic ET
WBA11_OR_ET	WBA 11 Other deciduous ET
WBA11_PA_ET	WBA 11 Pasture ET
WBA11_PO_ET	WBA 11 Potatoes ET
WBA11_RF_ET	WBA11_RF_ET
WBA11_RI_ET	WBA 11 Rice ET
WBA11_RV_ET	WBA11_RV_ET
WBA11_SB_ET	WBA 11 Sugar beets ET
WBA11_SF_ET	WBA 11 Safflower ET
WBA11_SL_ET	WBA11_SL_ET
WBA11_SO_ET	WBA 11 Sub-tropical ET
WBA11_TH_ET	WBA 11 Tomatoes (hand-picked) ET
WBA11_TM_ET	WBA 11 Tomatoes (machine-picked) ET
WBA11_TR_ET	WBA 11 Other truck ET
WBA11_UR_ET	WBA 11 Urban ET
WBA11_VI_ET	WBA 11 Vineyards ET
WBA12	WBA 12 Reference ET
WBA12_AL_ET	WBA 12 Alfalfa ET
WBA12_AP_ET	WBA 12 Almonds and pistachios ET
WBA12_CO_ET	WBA 12 Cotton ET
WBA12_CR_ET	WBA 12 Corn ET
WBA12_CU_ET	WBA 12 Cucurbits ET
WBA12_DB_ET	WBA 12 Dry beans ET
WBA12_FI_ET	WBA 12 Other field crops ET
WBA12_GR_ET	WBA 12 Grain ET
WBA12_ID_ET	WBA12_ID_ET
WBA12_NV_ET	WBA 12 Native vegetation ET
WBA12_OG_ET	WBA 12 Onions and garlic ET
WBA12_OR_ET	WBA 12 Other deciduous ET
WBA12_PA_ET	WBA 12 Pasture ET
WBA12_PO_ET	WBA 12 Potatoes ET
WBA12_RF_ET	WBA12_RF_ET
WBA12_RI_ET	WBA 12 Rice ET
WBA12_RV_ET	WBA12_RV_ET
WBA12_SB_ET	WBA 12 Sugar beets ET
WBA12_SF_ET	WBA 12 Safflower ET
WBA12_SL_ET	WBA12_SL_ET
WBA12_SO_ET	WBA 12 Sub-tropical ET
WBA12_TH_ET	WBA 12 Tomatoes (hand-picked) ET
WBA12_TM_ET	WBA 12 Tomatoes (machine-picked) ET
WBA12_TR_ET	WBA 12 Other truck ET
WBA12_UR_ET	WBA 12 Urban ET
WBA12_VI_ET	WBA 12 Vineyards ET
WBA13	WBA 13 Reference ET
WBA13_AL_ET	WBA 13 Alfalfa ET
WBA13_AP_ET	WBA 13 Almonds and pistachios ET
WBA13_CO_ET	WBA 13 Cotton ET
WBA13_CR_ET	WBA 13 Corn ET
WBA13_CU_ET	WBA 13 Cucurbits ET
WBA13_DB_ET	WBA 13 Dry beans ET
WBA13_FI_ET	WBA 13 Other field crops ET
WBA13_GR_ET	WBA 13 Grain ET
WBA13_ID_ET	WBA13_ID_ET
WBA13_NV_ET	WBA 13 Native vegetation ET
WBA13_OG_ET	WBA 13 Onions and garlic ET
WBA13_OR_ET	WBA 13 Other deciduous ET
WBA13_PA_ET	WBA 13 Pasture ET
WBA13_PO_ET	WBA 13 Potatoes ET
WBA13_RF_ET	WBA13_RF_ET
WBA13_RI_ET	WBA 13 Rice ET
WBA13_RV_ET	WBA13_RV_ET
WBA13_SB_ET	WBA 13 Sugar beets ET
WBA13_SF_ET	WBA 13 Safflower ET
WBA13_SL_ET	WBA13_SL_ET
WBA13_SO_ET	WBA 13 Sub-tropical ET
WBA13_TH_ET	WBA 13 Tomatoes (hand-picked) ET
WBA13_TM_ET	WBA 13 Tomatoes (machine-picked) ET
WBA13_TR_ET	WBA 13 Other truck ET
WBA13_UR_ET	WBA 13 Urban ET
WBA13_VI_ET	WBA 13 Vineyards ET
WBA14	WBA 14 Reference ET
WBA14_AL_ET	WBA 14 Alfalfa ET
WBA14_AP_ET	WBA 14 Almonds and pistachios ET
WBA14_CO_ET	WBA 14 Cotton ET
WBA14_CR_ET	WBA 14 Corn ET
WBA14_CU_ET	WBA 14 Cucurbits ET
WBA14_DB_ET	WBA 14 Dry beans ET
WBA14_FI_ET	WBA 14 Other field crops ET
WBA14_GR_ET	WBA 14 Grain ET
WBA14_ID_ET	WBA14_ID_ET
WBA14_NV_ET	WBA 14 Native vegetation ET
WBA14_OG_ET	WBA 14 Onions and garlic ET
WBA14_OR_ET	WBA 14 Other deciduous ET
WBA14_PA_ET	WBA 14 Pasture ET
WBA14_PO_ET	WBA 14 Potatoes ET
WBA14_RF_ET	WBA14_RF_ET
WBA14_RI_ET	WBA 14 Rice ET
WBA14_RV_ET	WBA14_RV_ET
WBA14_SB_ET	WBA 14 Sugar beets ET
WBA14_SF_ET	WBA 14 Safflower ET
WBA14_SL_ET	WBA14_SL_ET
WBA14_SO_ET	WBA 14 Sub-tropical ET
WBA14_TH_ET	WBA 14 Tomatoes (hand-picked) ET
WBA14_TM_ET	WBA 14 Tomatoes (machine-picked) ET
WBA14_TR_ET	WBA 14 Other truck ET
WBA14_UR_ET	WBA 14 Urban ET
WBA14_VI_ET	WBA 14 Vineyards ET
WBA15N	WBA 15N Reference ET
WBA15N_AL_ET	WBA 15N Alfalfa ET
WBA15N_AP_ET	WBA 15N Almonds and pistachios ET
WBA15N_CO_ET	WBA 15N Cotton ET
WBA15N_CR_ET	WBA 15N Corn ET
WBA15N_CU_ET	WBA 15N Cucurbits ET
